Amanda Cardenas,73.65
Chelsea Brennan,90.08
Miss Dawn Clark,52.52
Allison Maldonado,75.39
Mandy Fernandez,40.27
Amber Smith,38.18
Cynthia Campbell,3.85
Jason Ingram,40.68
Bradley Brewer,82.67
Marc White,91.27
Matthew Walter,34.74
Christopher Woods,29.51
Margaret Wilson,52.47
Joyce Shields,17.68
Sean Wheeler,47.24
Shane Hunt,48.77
Susan Mcmillan,19.32
Cassandra Johnson,75.09
Raymond Harris,55.99
Eric Smith,20.63
Nathan Lin,52.7
Mr. Sean Clark,40.76
Matthew Jackson,40.02
Jason Thomas,86.96
Cynthia Hunt,58.17
Sherry Hubbard,56.74
Katie Diaz,58.56
Stephanie Wade,49.98
Jackson Crawford,74.32
Jennifer Morrow,63.67
Michael Taylor,46.62
Diana White,21.81
Andrew Williams,85.65
Arthur Cooper,81.68
Mary Oliver,93.94
Norma Cain,4.35
Kristy Lambert,62.63
Crystal Dixon DDS,51.12
Barbara Mckee,33.96
Susan Mccann,6.18
