Annette Gray,35.26
Natalie Wolf,92.77
Richard Henderson,48.51
Ashley Walls,43.46
William Pittman,18.08
Annette Gray,35.26
Crystal Hendrix,3.28
Michael Rogers,39
name,0
Crystal Reyes,8.96
Michael Rogers,39
Penny Mendez,86.42
Richard Henderson,48.51
Christine Cooper,29.7
Emily Brady,97.37
Crystal Reyes,8.96
Jenny Cunningham,28.62
Crystal Reyes,8.96
Emily Brady,97.37
Michael Rogers,39
name,0
Daniel Smith,47.28
Crystal Reyes,8.96
William Pittman,18.08
Michael Rogers,39
Daniel Smith,47.28
Richard Henderson,48.51
Lisa Valenzuela,90.57
Daniel Smith,47.28
Parker Fuentes,71.22
Christine Cooper,29.7
Richard Henderson,48.51
Parker Fuentes,71.22
Jenny Cunningham,28.62
name,0
Emily Brady,97.37
Crystal Reyes,8.96
Meghan Bernard,17.98
Parker Fuentes,71.22
Michael Rogers,39
Parker Fuentes,71.22
Natalie Wolf,92.77
Meghan Bernard,17.98
Daniel Smith,47.28
Christine Cooper,29.7
Emily Brady,97.37
Penny Mendez,86.42
name,0
name,0
Meghan Bernard,17.98
