name,age,
Parviondel,12,
Jorvalenci,11,
Sorvalenti,16,
Ravendolis,15,
Varnoldies,20,
Varnoldies,20,
Parviondel,12,
Norvalenti,17,
Parviondel,12,
Varnoldies,20,
Jorvalenci,11,
Darnellius,15,
Estavionel,20,
Orlanderis,16,
Ivandoriel,13,
Kalveronis,10,
Darnellius,15,
Kalveronis,10,
Ravendolis,15,
Hestoriane,19,
Gavriandel,16,
Hestoriane,19,
Darnellius,15,
Farnoldric,18,
Quinterius,14,
Brantolvis,10,
Ravendolis,15,
Gavriandel,16,
Brantolvis,10,
Sorvalenti,16,
Sorvalenti,16,
Parviondel,12,
Sorvalenti,16,
Hestoriane,19,
Lornavides,16,
Ravendolis,15,
Sorvalenti,16,
Gavriandel,16,
Jorvalenci,11,
Marcellion,14,
Ravendolis,15,
Jorvalenci,11,
Orlanderis,16,
Varnoldies,20,
Orlanderis,16,
Orlanderis,16,
Jorvalenci,11,
Quinterius,14,
Darnellius,15,
Sorvalenti,16,
Parviondel,12,
Brantolvis,10,
Quinterius,14,
Ravendolis,15,
Ravendolis,15,
Lornavides,16,
Ravendolis,15,
Norvalenti,17,
Ivandoriel,13,
Jorvalenci,11,
Calveronis,12,
Ravendolis,15,
Darnellius,15,
Taviondrel,16,
Estavionel,20,
Gavriandel,16,
Parviondel,12,
Brantolvis,10,
Darnellius,15,
Parviondel,12,
Farnoldric,18,
Taviondrel,16,
Quinterius,14,
Sorvalenti,16,
Sorvalenti,16,
Jorvalenci,11,
Darnellius,15,
Sorvalenti,16,
Ravendolis,15,
Gavriandel,16,
Hestoriane,19,
Lornavides,16,
Sorvalenti,16,
Darnellius,15,
Hestoriane,19,
Orlanderis,16,
Norvalenti,17,
Quinterius,14,
Gavriandel,16,
Norvalenti,17,
