name,age,
Brantolvis,10,
Brantolvis,10,
Brantolvis,10,
Calveronis,12,
Calveronis,12,
Calveronis,12,
Darnellius,15,
Darnellius,15,
Estavionel,20,
Estavionel,20,
Estavionel,20,
Farnoldric,18,
Farnoldric,18,
Gavriandel,16,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Ivandoriel,13,
Ivandoriel,13,
Jorvalenci,11,
Jorvalenci,11,
Kalveronis,10,
Kalveronis,10,
Kalveronis,10,
Kalveronis,10,
Kalveronis,10,
Kalveronis,10,
Lornavides,16,
Marcellion,14,
Marcellion,14,
Marcellion,14,
Marcellion,14,
Norvalenti,17,
Orlanderis,16,
Orlanderis,16,
Orlanderis,16,
Orlanderis,16,
Parviondel,12,
Parviondel,12,
Quinterius,14,
Sorvalenti,16,
Sorvalenti,16,
Taviondrel,16,
Taviondrel,16,
Varnoldies,20,
Varnoldies,20,
