name,age,
Kalveronis,10,
Kalveronis,10,
Kalveronis,10,
Brantolvis,10,
Kalveronis,10,
Kalveronis,10,
Brantolvis,10,
Kalveronis,10,
Jorvalenci,11,
Calveronis,12,
Calveronis,12,
Parviondel,12,
Ivandoriel,13,
Ivandoriel,13,
Marcellion,14,
Marcellion,14,
Quinterius,14,
Marcellion,14,
Gavriandel,16,
Sorvalenti,16,
Orlanderis,16,
Orlanderis,16,
Orlanderis,16,
Taviondrel,16,
Taviondrel,16,
Sorvalenti,16,
Lornavides,16,
Norvalenti,17,
Farnoldric,18,
Farnoldric,18,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Hestoriane,19,
Varnoldies,20,
Estavionel,20,
Varnoldies,20,
Estavionel,20,
Estavionel,20,
