Richard Henderson,47.28
Michael Rogers,29.7
Crystal Reyes,92.77
Barbara Montgomery,84.4
Crystal Hendrix,92.77
Natalie Wolf,71.22
Lisa Valenzuela,42.03
Crystal Reyes,86.42
Daniel Smith,31.14
Barbara Montgomery,28.62
Crystal Hendrix,97.37
Tyler Perez DDS,28.62
Richard Henderson,28.76
Lisa Valenzuela,90.57
Natalie Wolf,97.37
Natalie Wolf,28.62
Jenny Cunningham,92.77
Emily Brady,17.98
Daniel Smith,35.26
Crystal Reyes,90.57
Christine Cooper,18.08
Meghan Bernard,31.14
Barbara Montgomery,86.42
Penny Mendez,35.26
Crystal Reyes,29.7
Meghan Bernard,29.7
Christine Cooper,84.4
Richard Henderson,47.28
Christine Cooper,31.14
Penny Mendez,42.03
