Ashley Walls,3.28
Barbara Montgomery,3.28
Brian Turner,3.28
Emily Brady,3.28
Richard Henderson,3.28
William Pittman,3.28
Barbara Montgomery,8.96
Meghan Bernard,8.96
Michael Rogers,8.96
Christine Cooper,17.98
Crystal Reyes,17.98
Dwayne Mccarty,17.98
Jenny Cunningham,17.98
Richard Henderson,17.98
William Pittman,17.98
Daniel Smith,18.08
Emily Brady,18.08
Lisa Valenzuela,18.08
Meghan Bernard,18.08
Brian Turner,28.62
Emily Brady,28.62
Crystal Reyes,28.76
Crystal Reyes,28.76
Jenny Cunningham,28.76
Parker Fuentes,28.76
Penny Mendez,28.76
Richard Henderson,28.76
Ashley Walls,29.7
Brian Turner,29.7
Emily Brady,29.7
Jenny Cunningham,29.7
Meghan Bernard,29.7
Brian Turner,31.14
Emily Brady,31.14
Tyler Perez DDS,31.14
Ashley Walls,35.26
Ashley Walls,35.26
Tyler Perez DDS,35.26
Christine Cooper,39
Crystal Reyes,39
Richard Henderson,39
Lisa Valenzuela,43.46
Daniel Smith,47.28
Jenny Cunningham,47.28
Penny Mendez,47.28
Richard Henderson,47.28
Tyler Perez DDS,47.28
Ashley Walls,48.51
Brian Turner,48.51
Crystal Hendrix,71.22
Lisa Valenzuela,71.22
Michael Rogers,71.22
Richard Henderson,71.22
William Pittman,71.22
Ashley Walls,84.4
Dwayne Mccarty,84.4
Tyler Perez DDS,84.4
Barbara Montgomery,86.42
Daniel Smith,86.42
Richard Henderson,86.42
William Pittman,86.42
William Pittman,86.42
Barbara Montgomery,90.57
Meghan Bernard,90.57
Tyler Perez DDS,90.57
Annette Gray,92.77
Jenny Cunningham,92.77
Annette Gray,97.37
Parker Fuentes,97.37
Penny Mendez,97.37
